id,category,subcategory,name,brand,description,price,region,vendor_id,subsidy_eligible,is_ad,is_popular,rating,review_count,price_date,badge
P001,mobility,보행기,알루미늄 4발 보행기,안심모빌,실내외 겸용 경량 보행기. 높이 조절과 후면 바퀴가 있어 퇴원 후 보행 연습에 적합합니다.,89000,성남시,V001,Y,N,Y,4.6,128,2026-08-01,인기
P002,mobility,보행기,접이식 실내 보행기,느린걸음,좁은 아파트 복도용 접이식 보행기. 좌식 휴식이 가능합니다.,129000,성남시,V001,Y,N,Y,4.4,86,2026-08-01,
P003,mobility,휠체어,경량 수동휠체어 18인치,모란모빌리티,보호자 이동과 병원 동행용 경량 휠체어.,320000,성남시,V001,Y,N,Y,4.5,204,2026-08-01,지원가능
P004,mobility,휠체어,실내용 전동휠체어,분당라이드,실내 회전이 쉬운 소형 전동휠체어. 전문가 적합 확인 필요.,1890000,성남시,V001,Y,Y,N,4.2,41,2026-08-01,광고
P005,mobility,전동침대,1모터 전동침대,케어슬립,상체 각도 조절형. 욕창 예방 자세에 사용합니다.,780000,성남시,V003,Y,N,Y,4.3,67,2026-08-01,지원가능
P006,mobility,목욕보조,욕실 샤워의자 팔걸이형,세이프배스,미끄럼 방지 발판과 팔걸이가 있는 샤워의자.,69000,성남시,V002,Y,N,Y,4.7,155,2026-08-01,인기
P007,mobility,식사보조,높이조절 오버테이블,케어슬립,침대·휠체어에서 식사와 약 복용에 사용합니다.,54000,성남시,V003,N,N,N,4.1,33,2026-08-01,
P008,home,안전손잡이,L형 안전손잡이 2개 세트,분당주거안전,변기·샤워실 벽면 설치형. 시공 포함 견적 가능.,42000,성남시,V002,Y,N,Y,4.8,190,2026-08-01,인기
P009,home,미끄럼방지,욕실 미끄럼방지 매트,세이프배스,배수홀이 있는 대형 욕실 매트.,28000,성남시,V002,N,N,Y,4.5,88,2026-08-01,
P010,home,경사로,문턱 제거 이동 경사로,분당주거안전,휠체어·보행기용 실내 문턱 경사로. 설치 서비스 연계.,115000,성남시,V002,Y,N,N,4.4,52,2026-08-01,지원가능
P011,home,낙상예방,낙상감지 매트,판교안심관제,침대 옆 하중 감지. 안전단말기와 함께 사용.,210000,성남시,V005,N,N,N,4.0,19,2026-08-01,
P012,home,욕실,벽걸이 접이식 샤워시트,세이프배스,좁은 욕실에 접어 넣는 샤워시트.,98000,성남시,V002,Y,N,N,4.3,44,2026-08-01,
P013,health,기저귀,성인용 기저귀 대형 80매,모란케어,와상·외출 겸용 대형. 대용량 팩.,38900,성남시,V003,Y,N,Y,4.6,312,2026-08-01,인기
P014,health,욕창,욕창방지 에어매트,케어슬립,순환 펌프 포함 욕창 예방 매트.,245000,성남시,V003,Y,N,Y,4.4,77,2026-08-01,지원가능
P015,health,건강기기,손목형 혈압계,홈체크,큰 글씨 표시 가정용 혈압계. 의료진단 아님.,59000,성남시,V003,N,N,Y,4.2,140,2026-08-01,
P016,health,간병,방문요양 연계 상담,성남복지용구,장기요양 방문요양 기관 연결. 최종 계약은 기관과 진행.,0,성남시,V001,Y,N,N,4.5,28,2026-08-01,상담
P017,health,동행,병원동행 4시간,수정구생활서비스,진료 대기·이동 동행. 성남시 한정.,89000,성남시,V004,N,N,N,4.6,61,2026-08-01,
P018,life,청소,로봇청소 월 4회 구독,수정구생활서비스,로봇·인력 혼합 정기 청소. 월 구독.,129000,성남시,V004,N,Y,Y,4.3,54,2026-08-01,광고
P019,life,청소,원룸·욕실 집중 청소 1회,수정구생활서비스,낙상 위험 구역 중심 청소.,79000,성남시,V004,N,N,N,4.4,39,2026-08-01,
P020,life,방제,해충 방제 1회,수정구생활서비스,바퀴·개미 중심. 시공 후 환기 안내.,95000,성남시,V004,N,N,Y,4.1,47,2026-08-01,
P021,life,방제,방제 월 구독,수정구생활서비스,분기 점검형 정기 방제.,39000,성남시,V004,N,N,N,4.0,22,2026-08-01,구독
P022,life,유지보수,복지용구 정기점검,성남복지용구,휠체어·침대 월 1회 점검.,25000,성남시,V001,N,N,N,4.5,18,2026-08-01,구독
P023,emergency,단말기,안심버튼 단말기 월구독,판교안심관제,긴급버튼·위치 전송. PoC는 모의 경보.,19800,성남시,V005,Y,N,Y,4.7,93,2026-08-01,구독
P024,emergency,단말기,안심버튼 설치비,판교안심관제,벽면·목걸이형 설치. 통신 계약 별도.,55000,성남시,V005,Y,N,N,4.3,31,2026-08-01,
P025,emergency,센서,가스·화재 알림 패키지,판교안심관제,독거 가구용 가스·화재 감지기.,149000,성남시,V005,N,N,N,4.2,25,2026-08-01,
P026,mobility,보행기,바퀴형 롤레이터,안심모빌,실외 보행용 좌식 롤레이터.,259000,성남시,V001,Y,N,N,4.4,58,2026-08-01,지원가능
P027,mobility,휠체어,목욕용 휠체어,세이프배스,방수 프레임 샤워 휠체어.,410000,성남시,V002,Y,N,N,4.1,21,2026-08-01,
P028,home,조명,동작감지 야간등 3개,분당주거안전,화장실 이동 시 바닥 조명.,32000,성남시,V002,N,N,Y,4.6,74,2026-08-01,
P029,health,기저귀,와상 패드 30매,모란케어,침대 오염 방지 패드.,22000,성남시,V003,N,N,N,4.3,46,2026-08-01,
P030,health,건강기기,혈당측정 세트,홈체크,가정용 측정. 진단·처방 아님.,48000,성남시,V003,N,Y,N,4.0,37,2026-08-01,광고
P031,life,청소,이불·매트 케어 1회,수정구생활서비스,침구 진드기 케어.,65000,성남시,V004,N,N,N,4.2,16,2026-08-01,
P032,emergency,구독,보호자 알림 추가회선,판교안심관제,긴급 시 가족 동시 알림.,9900,성남시,V005,N,N,N,4.5,12,2026-08-01,구독
