program_id,name,agency,region,age_rule,income_rule,care_rule,benefit,apply_period,documents,source_url,verified_on
G001,노인맞춤돌봄서비스,보건복지부·성남시,성남시,65세 이상,중위소득 160% 이하,독거·고위험 우선,방문 돌봄·안부확인,연중,신분증·소득증빙,https://www.bokjiro.go.kr/,2026-08-28
G002,노인장기요양보험 복지용구,국민건강보험공단,전국,장기요양 인정자,소득과 무관,장기요양 1~5등급,복지용구 연 한도 내 구입·대여,연중,장기요양인정서,https://www.longtermcare.or.kr/,2026-08-28
G003,장애인 보조기기 지원,보건복지부,전국,제한 없음,소득구간별,등록장애인,보조기기 구입비 지원,연중,장애인증명서·처방전,https://www.bokjiro.go.kr/,2026-08-28
G004,성남시 주택개조 지원,성남시,성남시,제한 없음,중위소득 이하 우선,고령·장애인 가구,안전손잡이·경사로 등 개조,연간 모집,주민등록등본·소득,https://www.seongnam.go.kr/,2026-08-28
G005,긴급복지 주거지원,보건복지부,전국,제한 없음,위기사유 해당,생계·주거 위기,임시 주거비·현물,연중,위기증빙,https://www.bokjiro.go.kr/,2026-08-28
G006,치매안심센터 돌봄,성남시 치매안심센터,성남시,60세 이상 우선,해당 없음,치매 진단·의심,상담·인지프로그램,연중,진단서 또는 상담의뢰,https://www.seongnam.go.kr/,2026-08-28
G007,산정특례·의료비 지원,보건복지부,전국,제한 없음,소득구간별,중증·희귀,본인부담 경감,연중,진단서·건강보험,https://www.nhis.or.kr/,2026-08-28
G008,가사·간병 방문지원,보건복지부,전국,65세 미만 등,중위소득 70% 이하 등,장애인·질환자,방문 가사·간병,연중,장애·소득 증빙,https://www.bokjiro.go.kr/,2026-08-28
G009,성남시 독거노인 안전알림,성남시,성남시,65세 이상,해당 없음,독거,안전단말기·정기 안부,연중,신분증·독거 확인,https://www.seongnam.go.kr/,2026-08-28
G010,저소득층 기저귀·조제분유,보건복지부,전국,해당 가구,기초·차상위 등,영유아·성인 중증,기저귀 구입 지원,연중,수급 증빙,https://www.bokjiro.go.kr/,2026-08-28
